title,company,salary,link,experience,grade,remote,metro,query,skills_found,published_date
Системный аналитик,ООО ИЦ АЙ-ТЕКО,Не указана,https://hh.ru/vacancy/133392473,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"sql, jira, confluence",
Ведущий финансово-экономический аналитик,ООО Либерти Лайнс,Не указана,https://hh.ru/vacancy/132908460,Опыт 3-6 лет,не указан,Нет,Румянцево,аналитик данных,"excel, 1с",
Финансовый аналитик по коммерческим расходам,JETOUR,Не указана,https://hh.ru/vacancy/132927793,Опыт 1-3 года,не указан,Нет,Павелецкая,аналитик данных,1с,
Дата аналитик,Сбер для экспертов,Не указана,https://hh.ru/vacancy/132394756,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, power bi, tableau, superset",
Инженер базы данных ClickHouse,Сбер. IT,Не указана,https://hh.ru/vacancy/133401045,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, postgresql, clickhouse, mysql, kafka, etl",
Аналитик данных,100балльный репетитор,Не указана,https://hh.ru/vacancy/132248558,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"python, sql, datalens, etl",
Старший аналитик (отдел аналитики отзывов),"ПАО Банк ПСБ, Бизнес и инфраструктура",Не указана,https://hh.ru/vacancy/132393841,Опыт 1-3 года,senior,Нет,Китай-город,аналитик данных,Не найдено,
Head of Data and Analytics / Руководитель направления Данных и Аналитики,Novakid Inc,Не указана,https://hh.ru/vacancy/133223960,Опыт более 6 лет,не указан,Да,Не указано,аналитик данных,"sql, a/b, машинное обучение, ml",
Ведущий специалист по аналитике агентских продаж,Ингосстрах,Не указана,https://hh.ru/vacancy/131624629,Опыт 1-3 года,не указан,Нет,Баррикадная,аналитик данных,excel,
Старший аналитик/руководитель проектов (политические исследования),Аналитический центр ВЦИОМ,Не указана,https://hh.ru/vacancy/129886192,Опыт 3-6 лет,senior,Нет,Парк культуры,аналитик данных,excel,
Аналитик Excel (Junior),РОМИР,Не указана,https://hh.ru/vacancy/133062603,Без опыта,junior,Нет,Парк Победы,аналитик данных,"sql, excel",
Дата-аналитик,Сбер. IT,Не указана,https://hh.ru/vacancy/133185354,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"python, sql, spark, a/b, ml",
Старший аналитик (Карты и программы лояльности),Frank RG,Не указана,https://hh.ru/vacancy/132807803,Опыт более 6 лет,senior,Нет,Не указано,аналитик данных,excel,
Аналитик по ценообразованию,ООО HeadHunter::Бизнес аналитики,Не указана,https://hh.ru/vacancy/132074685,Опыт 3-6 лет,не указан,Да,Белорусская,аналитик данных,"sql, excel, a/b",
Аналитик,Правительство Москвы,Не указана,https://hh.ru/vacancy/133309225,Опыт 1-3 года,не указан,Нет,Баррикадная,аналитик данных,excel,
Аналитик,Национальная Лотерея,Не указана,https://hh.ru/vacancy/133305542,Опыт 1-3 года,не указан,Нет,Павелецкая,аналитик данных,"python, sql, metabase, excel, a/b",
Ведущий системный аналитик (MLOps-платформа),ООО Клауд Солюшенс,Не указана,https://hh.ru/vacancy/133420079,Опыт более 6 лет,не указан,Нет,Баррикадная,аналитик данных,"python, kafka, jira, confluence, api, машинное обучение",
Аналитик данных (Развитие сети ПВЗ),Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/130486548,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,"python, sql, power bi, tableau, superset, airflow, git, pandas",
Продуктовый аналитик (СберОС),Сбер. IT,Не указана,https://hh.ru/vacancy/133410240,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"python, sql, postgresql, clickhouse, power bi, tableau, superset, metabase, excel, a/b",
Аналитик (Речевая аналитика),ОТП Банк. Бизнес,Не указана,https://hh.ru/vacancy/130961934,Без опыта,не указан,Нет,Балтийская,аналитик данных,"python, sql, excel, ml",
Аналитик данных (ценообразование авиабилетов Ozon Travel),Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/132658865,Опыт 1-3 года,не указан,Да,Деловой центр,аналитик данных,"python, sql, clickhouse, superset",
Финансовый аналитик / Бизнес-партнер в FTL-логистике,ООО РД Транспорт,Не указана,https://hh.ru/vacancy/132932515,Без опыта,не указан,Нет,Вешняки,аналитик данных,"power bi, tableau, excel, google sheets, 1с",
Специалист (обработка данных),ГФК-Русь,Не указана,https://hh.ru/vacancy/132920712,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"sql, excel",
Аналитик данных (офис),ООО ИК СИБИНТЕК,Не указана,https://hh.ru/vacancy/133196524,Опыт 1-3 года,не указан,Нет,Беговая,аналитик данных,"sql, power bi, excel, power query",
Риск-аналитик,Finstar Financial Group,Не указана,https://hh.ru/vacancy/133373079,Опыт 3-6 лет,не указан,Нет,Деловой центр,аналитик данных,"python, sql, excel",
Аналитик данных для разработки AI-продукта,Сбер. IT,Не указана,https://hh.ru/vacancy/133308981,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"sql, jira, confluence",
Начальник отдела аналитики,ГБУ г. Москвы НИИ организации здравоохранения и медицинского менеджмента ДЗМ г. Москвы,Не указана,https://hh.ru/vacancy/131565042,Опыт более 6 лет,не указан,Нет,Павелецкая,аналитик данных,"python, sql, clickhouse, power bi",
Руководитель команды аналитиков,CloudPayments,Не указана,https://hh.ru/vacancy/132675856,Опыт 3-6 лет,не указан,Нет,Водный стадион,аналитик данных,"python, sql, pandas, a/b",
Аналитик в фармкомпанию,ООО ДИАМЕД-ФАРМА,Не указана,https://hh.ru/vacancy/132875435,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, power bi, excel, power query",
Аналитик данных (Отдел отчетности и аналитики дистанционной выдачи),Альфа-Банк,Не указана,https://hh.ru/vacancy/132440655,Опыт 1-3 года,не указан,Нет,Автозаводская,аналитик данных,"sql, excel",
Аналитик данных CRM,Экспобанк,Не указана,https://hh.ru/vacancy/132076223,Опыт 3-6 лет,не указан,Нет,Павелецкая,аналитик данных,"sql, power bi",
